"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","YEAR","CENSUS_TYPE"
"Government",1,5134,"Thomastown Meadows Primary School","Primary","O","25","23","48","19","32","51","23","19","42","18.4","26","44.4","33","24","57","18","30","48","19","32","51","0","0","0","341.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","341.4",2018,"F"
"Government",1,5135,"Kingsley Park Primary School","Primary","O","25","18","43","26","23","49","35","23","58","24","37","61","34","29","63","35","29","64","31","29","60","0","0","0","398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","398",2018,"F"
"Government",1,5136,"James Cook Primary School","Primary","O","14","22","36","24","19","43","16","13","29","12","19","31","12","18","30","10","23","33","17","19","36","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","238",2018,"F"
"Government",1,5139,"Movelle Primary School","Primary","O","14","15","29","12","18","30","14","12","26","14","12","26","18","12","30","13.2","10","23.2","17","7","24","0","0","0","188.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188.2",2018,"F"
"Government",1,5140,"Mount Eliza North Primary School","Primary","O","46","38","84","49","43","92","54","44","98","45","42","87","57","47","104","40","36","76","43","57","100","0","0","0","641","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","641",2018,"F"
"Government",1,5141,"Melrose Primary School","Primary","O","13","16","29","22","28","50","14","30","44","20","17","37","27","29","56","24","26","50","24","26","50","0","0","0","316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","316",2018,"F"
"Government",1,5142,"Yarrabah School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.4","25.6","108","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","21","72","72","180",2018,"F"
"Government",1,5143,"Frankston Special Developmental School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50.8","14","64.8","64.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","23","59","59","123.8",2018,"F"
"Government",1,5144,"Waratah Special Developmental School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.4","17","44.4","44.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","9","32","32","76.4",2018,"F"
"Government",1,5145,"Port Phillip Specialist School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","16.1","58.1","58.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","26","50","50","108.1",2018,"F"
"Government",1,5147,"Cobram and District Specialist School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4","5.6","22","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","8","28","28","50",2018,"F"
"Government",1,5151,"Monash Special Developmental School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","31.8","82.8","82.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.8","11","49.8","49.8","132.6",2018,"F"
"Government",1,5152,"Iramoo Primary School","Primary","O","45","51","96","52","55","107","51","73","124","52","60","112","59","62","121","70","51","121","41","43","84","0","0","0","765","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","765",2018,"F"
"Government",1,5153,"Verney Road School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.4","14.2","94.6","94.6","0","0","0","0","0","0","0","0","0","6","10","16","13.6","6","19.6","10","4","14","30","13.2","43.2","92.8","187.4",2018,"F"
"Government",1,5157,"Weeden Heights Primary School","Primary","O","16","16","32","13","14","27","9","8","17","9","9","18","14","18","32","12","6","18","16","12","28","0","0","0","172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172",2018,"F"
"Government",1,5160,"Mill Park Primary School","Primary","O","38","38","76","39","40","79","43","29","72","19","43","62","46","31","77","40","39","79","33","47","80","0","0","0","525","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","525",2018,"F"
"Government",1,5161,"Diamond Valley Special Developmental School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","19.2","68.2","68.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.2","28.8","66","66","134.2",2018,"F"
"Government",1,5162,"Melton Specialist School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","33","106","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","113.6","71","184.6","184.6","290.6",2018,"F"
"Government",1,5164,"Springvale Park Special Developmental School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87","44.2","131.2","131.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","22","65","65","196.2",2018,"F"
"Government",1,5165,"Warringa Park School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180.6","67.6","248.2","248.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","192.8","77","269.8","269.8","518",2018,"F"
"Government",1,5168,"Serpell Primary School","Primary","O","88","81","169","78","82","160","81","87","168","76","82","158","77","86","163","81","71","152","89","65","154","0","0","0","1124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1124",2018,"F"
"Government",1,5171,"Mount Martha Primary School","Primary","O","54","40","94","49","53","102","53","54","107","68","43","111","60","58","118","62","61","123","48","48","96","0","0","0","751","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","751",2018,"F"
"Government",1,5172,"Altona Meadows Primary School","Primary","O","20","21","41","37","22","59","22","26","48","29","33","62","23","23","46","29","29","58","40","25","65","0","0","0","379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","379",2018,"F"
"Government",1,5173,"The Patch Primary School","Primary","O","19","19","38","16","18","34","26","20","46","18","17","35","17","14","31","25.4","9","34.4","22","16","38","0","0","0","256.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","256.4",2018,"F"
"Government",1,5175,"Sale and District Specialist School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","11","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","8.6","26.6","26.6","61.6",2018,"F"
"Government",1,5176,"Jells Park Primary School","Primary","O","36","39","75","38","30","68","37.4","26","63.4","40","50","90","35","41","76","38","37","75","33","28","61","0","0","0","508.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","508.4",2018,"F"
