Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""",Grand Total
Government,1,882,Invermay Primary School,Primary,O,2,5,7,7,5,12,2,6,8,4,2,6,7,3,10,6,3,9,8,1,9,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Government,1,887,Mitta Mitta Primary School,Primary,O,1,0,1,1,0,1,1,1,2,0,1,1,2,0,2,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Government,1,888,Camberwell Primary School,Primary,O,44,44,88,58,41,99,45,50,95,51,50,101,46,50,96,49,52,101,34,34,68,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648
Government,1,890,Greenvale Primary School,Primary,O,52,54,106,67,55,122,52,60,112,72,40,112,54,64,118,51,52,103,46,57,103,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776
Government,1,912,Alexandra Primary School,Primary,O,8,14,22,7,9,16,17,15,32,14,8,22,11,10,21,12,20,32,13,14,27,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
Government,1,919,Rockbank Primary School,Primary,O,8,4,12,6,4,10,9,4,13,6,4,10,6,9,15,6,6,12,6,5,11,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
Government,1,932,Bannockburn Primary School,Primary,O,42,42,84,30,34,64,39,57,96,51,40,91,37,42,79,45,32,77,40,41,81,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572
Government,1,945,Doreen Primary School,Primary,O,12,11,23,10,12,22,7,10,17,10,13,23,12,11,23,13,10,23,11,12,23,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
Government,1,954,Talbot Primary School,Primary,O,1,6,7,6,4,10,5,4,9,7,4,11,0,3,3,7,8,15,9,5,14,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Government,1,956,Yarra Glen Primary School,Primary,O,14,14,28,15,18,33,11,9,20,19,7,26,10,12,22,10,13,23,10,8,18,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
Government,1,959,Elmhurst Primary School,Primary,O,0,0,0,0,2,2,0,0,0,2,1,3,0,0,0,2,1,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Government,1,981,Kangaroo Flat Primary School,Primary,O,16,18,34,23,15,38,22,12,34,18,20,38,22,20,42,23,22,45,25,28,53,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
Government,1,982,Westmeadows Primary School,Primary,O,33,31,64,43,26,69,35,36,71,35,25,60,33,36,69,34,29,63,22,39,61,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457
Government,1,1002,Sunbury Primary School,Primary,O,21,27,48,30,24,54,21,28,49,37,24,61,24,16,40,22,27,49,26,37,63,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364
Government,1,1003,Diamond Creek Primary School,Primary,O,21,18,39,23,14,37,16,11,27,17,15,32,14,15,29,18,12,30,14,12,26,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
Government,1,1004,Hesket Primary School,Primary,O,2,4,6,3,2,5,5,3,8,2,0,2,3,1,4,0,0,0,2,4,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Government,1,1008,Axedale Primary School,Primary,O,16,4,20,5,9,14,12,15,27,5,5,10,5,9,14,8,6,14,3,6,9,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
Government,1,1022,Vermont Primary School,Primary,O,51,37,88,46,60,106,46,60,106,50,45,95,36,47,83,53,46,99,61,51,112,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689
Government,1,1023,Tarnagulla Primary School,Primary,O,3,1.4,4.4,4,1,5,2,1,3,0,4,4,2,1,3,2,2,4,1,2,3,0,0,0,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4
Government,1,1026,Balwyn Primary School,Primary,O,33,40,73,37,42,79,40,41,81,43,38,81,40,35,75,35,25,60,27,34,61,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
Government,1,1028,Scoresby Primary School,Primary,O,24,11,35,17,12,29,19,13,32,11,22,33,16,6,22,16,23,39,16,11,27,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
Government,1,1030,Carisbrook Primary School,Primary,O,16,22,38,32,12,44,22,17,39,35,12,47,16,13,29,20,14,34,19,14,33,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264
Government,1,1033,Wandin Yallock Primary School,Primary,O,7,3,10,9,4,13,5,5,10,4,3,7,4,4,8,9,8,17,12,3,15,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Government,1,1034,Yering Primary School,Primary,O,1,2,3,0,2,2,2,1,3,2,0,2,1.5,2,3.5,4,1,5,1,1,2,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5
Government,1,1035,Dartmoor Primary School,Primary,O,0,1,1,4,3,7,3,0,3,4,2,6,3,0,3,1,3,4,1,1,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Government,1,1051,Mickleham Primary School,Primary,O,20,14,34,8,7,15,6,7,13,15,6,21,5,8,13,12,15,27,8,12,20,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
Government,1,1052,Inglewood Primary School,Primary,O,6,0,6,3,4,7,3,0,3,1,3,4,2,3,5,4,2,6,0,1,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Government,1,1054,Chewton Primary School,Primary,O,9,4,13,7,3,10,3,8,11,5,5,10,5,6.2,11.2,2,6,8,7,3,10,0,0,0,73.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.2
Government,1,1070,Bolinda Primary School,Primary,O,0,2,2,2,3,5,5,3,8,1,0,1,4,1,5,4,7,11,1,10,11,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Government,1,1072,Napoleons Primary School,Primary,O,7,9,16,4,8,12,10,6,16,13,5,18,6,7,13,8,7,15,9,3,12,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
Government,1,1075,Kew Primary School,Primary,O,39,30,69,33,30,63,42,30,72,37,27,64,44,40,84,22,32,54,39,40,79,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485
Government,1,1076,Haddon Primary School,Primary,O,17,16,33,15,19,34,25,21,46,9,19,28,14,8,22,23,16,39,16,8,24,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
Government,1,1079,Panmure Primary School,Primary,O,1,1,2,0,3,3,1,3,4,2,0,2,2,3,5,1,3,4,1,3,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Government,1,1081,Dargo Primary School,Primary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government,1,1090,Sorrento Primary School,Primary,O,21,22,43,25,15,40,34,26,60,22,24,46,29,29,58,27,16,43,15,15,30,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
Government,1,1091,Alfredton Primary School,Primary,O,40,37,77,44,44,88,48,41,89,44,38,82,40,42,82,34,39,73,52,47,99,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590
Government,1,1097,Bridgewater Primary School,Primary,O,1,2,3,1,2,3,2,3,5,0,2,2,1,2,3,3,0,3,3,1,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Government,1,1098,Hastings Primary School,Primary,O,22,19,41,20,21,41,12,13,25,13,16,29,22,15,37,20,26,46,14,13,27,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
Government,1,1103,Yackandandah Primary School,Primary,O,9,9,18,16,9,25,5,13,18,8,9,17,10,15,25,11,7,18,14,9,23,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Government,1,1104,Nagambie Primary School,Primary,O,15,13,28,12,14,26,11,9,20,11,10,21,11,8,19,5,12,17,8,8,16,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
Government,1,1108,Heyfield Primary School,Primary,O,10,9,19,14,15,29,17,14,31,12,18,30,12,16,28,12,11,23,11,13,24,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
Government,1,1111,Moorabbin Primary School,Primary,O,18,18,36,22,11,33,13,18,31,13,13,26,21,20,41,17,19,36,20,14,34,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
