"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total","Year","CENSUS_TYPE"
"Government",1,3642,"Mount Evelyn Primary School","Primary","O","35","42","77","30","25.4","55.4","33","26","59","32","15","47","35","18","53","33","22","55","24","29","53","0","0","0","399.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","399.4",2021,"F"
"Government",1,3645,"Kilsyth Primary School","Primary","O","8","11","19","10","5","15","17","6","23","12","9","21","10","16","26","12","12","24","10","18","28","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156",2021,"F"
"Government",1,3650,"Wonthaggi Primary School","Primary","O","37","22","59","34","34","68","24","33","57","29","27","56","29","26","55","19","35","54","20","30","50","0","0","0","399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","399",2021,"F"
"Government",1,3659,"Spotswood Primary School","Primary","O","33","19","52","27","24","51","25","25","50","21","27","48","15","9","24","23","14","37","17","15","32","0","0","0","294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","294",2021,"F"
"Government",1,3664,"Clyde Primary School","Primary","O","45","43","88","45","46","91","51","42.4","93.4","51","28","79","31","35","66","33.6","32","65.6","31","27","58","0","0","0","541","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","541",2021,"F"
"Government",1,3675,"Noble Park Primary School","Primary","O","21","18","39","17","22","39","21","24","45","15","25","40","25","24","49","25","25","50","23","19","42","0","0","0","304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","304",2021,"F"
"Government",1,3680,"Deepdene Primary School","Primary","O","31","22","53","33","31","64","32","27","59","40","31","71","44","37","81","35","25","60","27","22","49","0","0","0","437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","437",2021,"F"
"Government",1,3684,"Clifton Creek Primary School","Primary","O","1","1","2","2","0","2","2","1.2","3.2","2.4","2.2","4.6","1.9","2.4","4.3","1","0","1","3.2","1.7","4.9","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22",2021,"F"
"Government",1,3686,"Kennington Primary School","Primary","O","58.8","43","101.8","42","38","80","44","42","86","59","45","104","56","43.8","99.8","41","36","77","51","43","94","0","0","0","642.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","642.6",2021,"F"
"Government",1,3689,"Cardinia Primary School","Primary","O","27.4","12","39.4","25","14","39","24","22","46","14","18","32","12","23","35","22","14","36","19","14","33","0","0","0","260.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260.4",2021,"F"
"Government",1,3696,"Grahamvale Primary School","Primary","O","25","31","56","27","31","58","43","42","85","24","30","54","24","20","44","26","14","40","26","18","44","0","0","0","381","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","381",2021,"F"
"Government",1,3702,"Irymple South Primary School","Primary","O","26","34","60","28","20","48","28","30","58","21","34","55","35","20","55","25","26","51","34","27","61","0","0","0","388","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","388",2021,"F"
"Government",1,3703,"Glen Huntly Primary School","Primary","O","16","28","44","23","24.4","47.4","39.2","27","66.2","22","21","43","24","31","55","21","21","42","19","14","33","0","0","0","330.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","330.6",2021,"F"
"Government",1,3708,"Nanneella Estate Primary School","Primary","O","1","0","1","0","3","3","0","1","1","0","0","0","2","2","4","1","1","2","0","1","1","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",2021,"F"
"Government",1,3709,"Wantirna Primary School","Primary","O","4","3","7","8","4","12","4","3","7","7","2","9","3","5","8","4","4","8","5","7","12","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63",2021,"F"
