"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","Year","CENSUS_TYPE"
"Catholic",2,914,"Our Lady of Mercy College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","206","206","0","205","205","0","205","205","0","206","206","0","187","187","0","189","189","0","0","0","1198","1198",2019,"F"
"Catholic",2,915,"St Joseph's School","Primary","O","14","14","28","19","14","33","16","20","36","19","21","40","24","28","52","17","37","54","21","25","46","0","0","0","289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","289",2019,"F"
"Catholic",2,923,"St Brigid's School","Primary","O","18","16","34","8","10","18","20","16","36","18","20","38","23","21","44","23","21","44","14","19","33","0","0","0","247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","247",2019,"F"
"Catholic",2,924,"St Columba's School","Primary","O","27","21","48","25","23","48","25","19","44","24","25","49","17","22","39","24","23","47","19","26","45","0","0","0","320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","320",2019,"F"
"Catholic",2,931,"Our Lady Help of Christians School","Primary","O","23","26","49","33","30","63","20","20","40","22","27","49","14.4","20","34.4","23","30","53","25","24","49","0","0","0","337.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","337.4",2019,"F"
"Catholic",2,932,"St Anthony's School","Primary","O","14","12","26","13","14.4","27.4","14","12","26","17","11","28","16","24","40","15","3","18","10","10","20","0","0","0","185.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","185.4",2019,"F"
"Catholic",2,935,"St Mary's School","Primary","O","12","10","22","12","16","28","12","20","32","12","17","29","18","15","33","16","23","39","18","17","35","0","0","0","218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","218",2019,"F"
"Catholic",2,937,"Sacred Heart School","Primary","O","16","22","38","13","14","27","22","21","43","21","20","41","22","24","46","20","26","46","17","20","37","0","0","0","278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","278",2019,"F"
"Catholic",2,950,"St Joseph's School","Primary","O","28","14","42","19","22","41","26.2","12","38.2","28","15","43","22","18","40","12","16","28","22","21","43","0","0","0","275.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","275.2",2019,"F"
"Catholic",2,954,"St Mary's School","Primary","O","30","22","52","35","19","54","30","28","58","25","27","52","26","22","48","24","28","52","28","29","57","0","0","0","373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","373",2019,"F"
"Catholic",2,955,"St Joseph's School","Primary","O","4","8","12","6","8","14","7","12","19","7","14","21","6","7","13","7","8","15","3","8","11","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105",2019,"F"
"Catholic",2,956,"De La Salle College","Pri/Sec","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","23","28","0","28","0","0","0","51","183","0","183","194","0","194","154","0","154","182.6","0","182.6","168.5","0","168.5","156.5","0","156.5","0","0","0","1038.6","1089.6",2019,"F"
"Catholic",2,962,"St Margaret Mary's School","Primary","O","13","12","25","5","7","12","10","14","24","7","13","20","11","12","23","12","3","15","12","14","26","0","0","0","145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145",2019,"F"
